outcome,outcome_label,panel,estimator,estimator_label,coef,stderr,pval,ci_lower,ci_upper,tstat,var,N,model_id
l_est,Log establishments,4d,dr,Doubly robust: DR-IPW,.19861905,.15642893,.2041886964215689,-.1079760223337571,.5052141278692643,1.269707903622942,Post_avg,1720,35
l_est,Log establishments,4d,ols,Regression DID: method(reg),.18311708,.15485159,.2369943649177648,-.1203864540224905,.4866206075316305,1.182532784624661,Post_avg,1720,36
l_est,Log establishments,5d,dr,Doubly robust: DR-IPW,.29697818,.10376216,.0042083763477661,.0936080844496366,.5003482668305758,2.862104870198807,Post_avg,4046,33
l_est,Log establishments,5d,ols,Regression DID: method(reg),.29082483,.10182705,.0042892514546748,.0912474842601345,.4904021768040134,2.856066604253532,Post_avg,4046,34
l_grossoutput,Log gross output,4d,dr,Doubly robust: DR-IPW,.59620291,.20487669,.00361362502205,.1946519741128602,.9977538457800231,2.910057297082953,Post_avg,1711,11
l_grossoutput,Log gross output,4d,ols,Regression DID: method(reg),.54814845,.22174469,.0134366993541151,.1135368541968463,.9827600522744062,2.471980105683516,Post_avg,1711,12
l_grossoutput,Log gross output,5d,dr,Doubly robust: DR-IPW,.83825356,.18654479,7.00363703632e-06,.472632486085059,1.203874629279016,4.493577943397011,Post_avg,4046,9
l_grossoutput,Log gross output,5d,ols,Regression DID: method(reg),.8236146,.18521112,8.71199901087e-06,.4606074685937827,1.186621726047331,4.446895997749834,Post_avg,4046,10
l_lab_sh,Labor share,4d,dr,Doubly robust: DR-IPW,.12540285,.0514189,.0147341878922684,.0246236598082048,.2261820459775466,2.438847421829538,Post_avg,1720,31
l_lab_sh,Labor share,4d,ols,Regression DID: method(reg),.1160139,.049475726,.0190339681344132,.0190432588857716,.2129845400052959,2.34486503653818,Post_avg,1720,32
l_lab_sh,Labor share,5d,dr,Doubly robust: DR-IPW,.097878836,.029630244,.0009553970667029,.0398046254368627,.1559530467538035,3.303342248140765,Post_avg,4046,29
l_lab_sh,Labor share,5d,ols,Regression DID: method(reg),.096721381,.027982498,.0005472480577393,.0418766934794534,.1515660684185874,3.456495641446585,Post_avg,4046,30
l_ppi,Log producer prices,4d,dr,Doubly robust: DR-IPW,-.11538827,.03301936,.0004748363782532,-.1801050308889066,-.0506715174967135,-3.4945642087435,Post_avg,1711,19
l_ppi,Log producer prices,4d,ols,Regression DID: method(reg),-.11524761,.03042041,.0001515617336074,-.1748705217270604,-.0556247076363811,-3.788496490259238,Post_avg,1711,20
l_ppi,Log producer prices,5d,dr,Doubly robust: DR-IPW,-.1002377,.021501085,3.13176142086e-06,-.1423790566297045,-.0580963529972563,-4.661983606604243,Post_avg,4046,17
l_ppi,Log producer prices,5d,ols,Regression DID: method(reg),-.10123429,.020511081,7.99088486714e-07,-.1414352679342965,-.0610333061127921,-4.935589930186728,Post_avg,4046,18
l_ship,Log shipments,4d,dr,Doubly robust: DR-IPW,.59230345,.2041622,.0037180572734867,.1921529050345147,.9924540047173773,2.90114168263802,Post_avg,1711,3
l_ship,Log shipments,4d,ols,Regression DID: method(reg),.54524899,.22231418,.0141825770781248,.1095212013084119,.9809767692726428,2.452605532770678,Post_avg,1711,4
l_ship,Log shipments,5d,dr,Doubly robust: DR-IPW,.83784425,.19307773,.0000142862972272,.4594188591910904,1.216269645981639,4.339414289801359,Post_avg,4046,1
l_ship,Log shipments,5d,ols,Regression DID: method(reg),.82348442,.18459125,8.15309541835e-06,.4616922215973931,1.185276619955341,4.461123844610816,Post_avg,4046,2
l_ship_sh,Shipments share,4d,dr,Doubly robust: DR-IPW,.10720321,.053395942,.0446748312659124,.0025490849565604,.2118573308635613,2.007703285844133,Post_avg,1711,27
l_ship_sh,Shipments share,4d,ols,Regression DID: method(reg),.097031564,.059854355,.1049902145465142,-.020280816027852,.214343943068715,1.62112788604192,Post_avg,1711,28
l_ship_sh,Shipments share,5d,dr,Doubly robust: DR-IPW,.099606283,.026562205,.0001768872552053,.0475453186734881,.1516672473446165,3.749925300524702,Post_avg,4046,25
l_ship_sh,Shipments share,5d,ols,Regression DID: method(reg),.099309184,.026072556,.0001395555556833,.0482079126125092,.1504104547018295,3.808954636999479,Post_avg,4046,26
l_valueadded,Log value added,4d,dr,Doubly robust: DR-IPW,.50633794,.20026277,.0114594231593077,.1138301239374953,.898845757448308,2.528367806704567,Post_avg,1710,7
l_valueadded,Log value added,4d,ols,Regression DID: method(reg),.45861265,.20895149,.0281759127987899,.0490752593678095,.8681500418979071,2.194828353323948,Post_avg,1710,8
l_valueadded,Log value added,5d,dr,Doubly robust: DR-IPW,.74261802,.17576563,.0000238891147251,.398123712806534,1.087112335891891,4.225046780821593,Post_avg,4045,5
l_valueadded,Log value added,5d,ols,Regression DID: method(reg),.72918487,.17422502,.0000284783243847,.3877101065860146,1.070659625317061,4.185305168651877,Post_avg,4045,6
l_workers,Log workers,4d,dr,Doubly robust: DR-IPW,.29409572,.19022568,.1220958965197227,-.0787397484898115,.666931198131993,1.546035905697938,Post_avg,1720,15
l_workers,Log workers,4d,ols,Regression DID: method(reg),.26788568,.19150084,.1618505586279151,-.1074490694817004,.6432204394157824,1.398874706607932,Post_avg,1720,16
l_workers,Log workers,5d,dr,Doubly robust: DR-IPW,.50397593,.16513373,.0022737812545246,.1803197652259194,.8276320904335654,3.05192603062082,Post_avg,4046,13
l_workers,Log workers,5d,ols,Regression DID: method(reg),.49717486,.15090787,.0009857633152304,.2014008608130043,.7929488572808678,3.294558763005497,Post_avg,4046,14
l_y_n,Log labor productivity,4d,dr,Doubly robust: DR-IPW,.16021247,.077986419,.0399404994680412,.0073618991641829,.3130630449981858,2.054363743364962,Post_avg,1711,23
l_y_n,Log labor productivity,4d,ols,Regression DID: method(reg),.13707097,.082926296,.0983460758375814,-.0254615841916504,.2996035216859283,1.652925258434748,Post_avg,1711,24
l_y_n,Log labor productivity,5d,dr,Doubly robust: DR-IPW,.16076937,.065917313,.0147297944574944,.0315738135469731,.289964932809991,2.438955194324307,Post_avg,3985,21
l_y_n,Log labor productivity,5d,ols,Regression DID: method(reg),.15479422,.067956544,.0227360411782584,.0216018365028333,.2879865958091784,2.277841190846635,Post_avg,3985,22
