"","Industry","hci","year","X"
"1.Chemicals.1","Chemicals",1,1969,38.4
"1.Primary metals.1","Primary metals",1,1969,40.4
"1.Machinery/transport equipment.1","Machinery/transport equipment",1,1969,40.5
"0.Food and beverages.1","Food and beverages",0,1969,41.8
"0.Textiles and clothing.1","Textiles and clothing",0,1969,39.3
"0.Wood and furniture.1","Wood and furniture",0,1969,41.1
"0.Paper and printing.1","Paper and printing",0,1969,41.8
"0.Nonmetallic minerals.1","Nonmetallic minerals",0,1969,41.1
"0.Miscellaneous industries.1","Miscellaneous industries",0,1969,32.2
"1.Chemicals.2","Chemicals",1,1970,38.3
"1.Primary metals.2","Primary metals",1,1970,39.9
"1.Machinery/transport equipment.2","Machinery/transport equipment",1,1970,39.5
"0.Food and beverages.2","Food and beverages",0,1970,41.9
"0.Textiles and clothing.2","Textiles and clothing",0,1970,38.8
"0.Wood and furniture.2","Wood and furniture",0,1970,40.2
"0.Paper and printing.2","Paper and printing",0,1970,41.7
"0.Nonmetallic minerals.2","Nonmetallic minerals",0,1970,41.6
"0.Miscellaneous industries.2","Miscellaneous industries",0,1970,32.3
"1.Chemicals.3","Chemicals",1,1971,34.2
"1.Primary metals.3","Primary metals",1,1971,33.1
"1.Machinery/transport equipment.3","Machinery/transport equipment",1,1971,37.3
"0.Food and beverages.3","Food and beverages",0,1971,37.6
"0.Textiles and clothing.3","Textiles and clothing",0,1971,33.1
"0.Wood and furniture.3","Wood and furniture",0,1971,33.7
"0.Paper and printing.3","Paper and printing",0,1971,36.8
"0.Nonmetallic minerals.3","Nonmetallic minerals",0,1971,38
"0.Miscellaneous industries.3","Miscellaneous industries",0,1971,29.2
"1.Chemicals.4","Chemicals",1,1972,29.5
"1.Primary metals.4","Primary metals",1,1972,24.8
"1.Machinery/transport equipment.4","Machinery/transport equipment",1,1972,28.8
"0.Food and beverages.4","Food and beverages",0,1972,32.7
"0.Textiles and clothing.4","Textiles and clothing",0,1972,28.1
"0.Wood and furniture.4","Wood and furniture",0,1972,28.7
"0.Paper and printing.4","Paper and printing",0,1972,33.5
"0.Nonmetallic minerals.4","Nonmetallic minerals",0,1972,31.7
"0.Miscellaneous industries.4","Miscellaneous industries",0,1972,24.1
"1.Chemicals.5","Chemicals",1,1973,33.6
"1.Primary metals.5","Primary metals",1,1973,30.8
"1.Machinery/transport equipment.5","Machinery/transport equipment",1,1973,36.1
"0.Food and beverages.5","Food and beverages",0,1973,38.3
"0.Textiles and clothing.5","Textiles and clothing",0,1973,38
"0.Wood and furniture.5","Wood and furniture",0,1973,38.1
"0.Paper and printing.5","Paper and printing",0,1973,40
"0.Nonmetallic minerals.5","Nonmetallic minerals",0,1973,38.9
"0.Miscellaneous industries.5","Miscellaneous industries",0,1973,38.1
"1.Chemicals.6","Chemicals",1,1974,33.8
"1.Primary metals.6","Primary metals",1,1974,33.7
"1.Machinery/transport equipment.6","Machinery/transport equipment",1,1974,22.3
"0.Food and beverages.6","Food and beverages",0,1974,39.1
"0.Textiles and clothing.6","Textiles and clothing",0,1974,35.6
"0.Wood and furniture.6","Wood and furniture",0,1974,37.5
"0.Paper and printing.6","Paper and printing",0,1974,38.5
"0.Nonmetallic minerals.6","Nonmetallic minerals",0,1974,37.4
"0.Miscellaneous industries.6","Miscellaneous industries",0,1974,37.8
"1.Chemicals.7","Chemicals",1,1975,16.9
"1.Primary metals.7","Primary metals",1,1975,12.4
"1.Machinery/transport equipment.7","Machinery/transport equipment",1,1975,18.3
"0.Food and beverages.7","Food and beverages",0,1975,52.8
"0.Textiles and clothing.7","Textiles and clothing",0,1975,51.4
"0.Wood and furniture.7","Wood and furniture",0,1975,52.1
"0.Paper and printing.7","Paper and printing",0,1975,53
"0.Nonmetallic minerals.7","Nonmetallic minerals",0,1975,52
"0.Miscellaneous industries.7","Miscellaneous industries",0,1975,51.3
"1.Chemicals.8","Chemicals",1,1976,19.1
"1.Primary metals.8","Primary metals",1,1976,11.9
"1.Machinery/transport equipment.8","Machinery/transport equipment",1,1976,23.1
"0.Food and beverages.8","Food and beverages",0,1976,52.3
"0.Textiles and clothing.8","Textiles and clothing",0,1976,50.4
"0.Wood and furniture.8","Wood and furniture",0,1976,50.8
"0.Paper and printing.8","Paper and printing",0,1976,51.6
"0.Nonmetallic minerals.8","Nonmetallic minerals",0,1976,50.8
"0.Miscellaneous industries.8","Miscellaneous industries",0,1976,49.9
"1.Chemicals.9","Chemicals",1,1977,19.3
"1.Primary metals.9","Primary metals",1,1977,11.9
"1.Machinery/transport equipment.9","Machinery/transport equipment",1,1977,21.3
"0.Food and beverages.9","Food and beverages",0,1977,50
"0.Textiles and clothing.9","Textiles and clothing",0,1977,48.8
"0.Wood and furniture.9","Wood and furniture",0,1977,50
"0.Paper and printing.9","Paper and printing",0,1977,49.3
"0.Nonmetallic minerals.9","Nonmetallic minerals",0,1977,50.5
"0.Miscellaneous industries.9","Miscellaneous industries",0,1977,48.6
"1.Chemicals.10","Chemicals",1,1978,18.2
"1.Primary metals.10","Primary metals",1,1978,11
"1.Machinery/transport equipment.10","Machinery/transport equipment",1,1978,21.6
"0.Food and beverages.10","Food and beverages",0,1978,48.9
"0.Textiles and clothing.10","Textiles and clothing",0,1978,47.1
"0.Wood and furniture.10","Wood and furniture",0,1978,48.3
"0.Paper and printing.10","Paper and printing",0,1978,48.6
"0.Nonmetallic minerals.10","Nonmetallic minerals",0,1978,49.7
"0.Miscellaneous industries.10","Miscellaneous industries",0,1978,47.6
"1.Chemicals.11","Chemicals",1,1979,21.6
"1.Primary metals.11","Primary metals",1,1979,10.6
"1.Machinery/transport equipment.11","Machinery/transport equipment",1,1979,22.7
"0.Food and beverages.11","Food and beverages",0,1979,49.1
"0.Textiles and clothing.11","Textiles and clothing",0,1979,46.8
"0.Wood and furniture.11","Wood and furniture",0,1979,48.4
"0.Paper and printing.11","Paper and printing",0,1979,49.3
"0.Nonmetallic minerals.11","Nonmetallic minerals",0,1979,49.3
"0.Miscellaneous industries.11","Miscellaneous industries",0,1979,48.2
"1.Chemicals.12","Chemicals",1,1980,17.2
"1.Primary metals.12","Primary metals",1,1980,15
"1.Machinery/transport equipment.12","Machinery/transport equipment",1,1980,22.8
"0.Food and beverages.12","Food and beverages",0,1980,49.5
"0.Textiles and clothing.12","Textiles and clothing",0,1980,48
"0.Wood and furniture.12","Wood and furniture",0,1980,48.7
"0.Paper and printing.12","Paper and printing",0,1980,49.1
"0.Nonmetallic minerals.12","Nonmetallic minerals",0,1980,48.7
"0.Miscellaneous industries.12","Miscellaneous industries",0,1980,49
"1.Chemicals.13","Chemicals",1,1981,19.5
"1.Primary metals.13","Primary metals",1,1981,16.4
"1.Machinery/transport equipment.13","Machinery/transport equipment",1,1981,26
"0.Food and beverages.13","Food and beverages",0,1981,51.3
"0.Textiles and clothing.13","Textiles and clothing",0,1981,50.2
"0.Wood and furniture.13","Wood and furniture",0,1981,52
"0.Paper and printing.13","Paper and printing",0,1981,51.4
"0.Nonmetallic minerals.13","Nonmetallic minerals",0,1981,51
"0.Miscellaneous industries.13","Miscellaneous industries",0,1981,50.6
"1.Chemicals.14","Chemicals",1,1982,47
"1.Primary metals.14","Primary metals",1,1982,47.5
"1.Machinery/transport equipment.14","Machinery/transport equipment",1,1982,46.8
"0.Food and beverages.14","Food and beverages",0,1982,48.8
"0.Textiles and clothing.14","Textiles and clothing",0,1982,47.2
"0.Wood and furniture.14","Wood and furniture",0,1982,49
"0.Paper and printing.14","Paper and printing",0,1982,48.4
"0.Nonmetallic minerals.14","Nonmetallic minerals",0,1982,48.1
"0.Miscellaneous industries.14","Miscellaneous industries",0,1982,47.9
"1.Chemicals.15","Chemicals",1,1983,41
"1.Primary metals.15","Primary metals",1,1983,40
"1.Machinery/transport equipment.15","Machinery/transport equipment",1,1983,40.3
"0.Food and beverages.15","Food and beverages",0,1983,42.8
"0.Textiles and clothing.15","Textiles and clothing",0,1983,41.3
"0.Wood and furniture.15","Wood and furniture",0,1983,42.9
"0.Paper and printing.15","Paper and printing",0,1983,42.4
"0.Nonmetallic minerals.15","Nonmetallic minerals",0,1983,42.1
"0.Miscellaneous industries.15","Miscellaneous industries",0,1983,41.9
