Sector,Korean HCI Targeting,Japanese Targeting,Japanese Legal Action,,,,,,
Electric Power,,X,1956.1 “Electric Power Six-Year Plan” Electric Power Development Coordination Council,,,,,,
,,,,,,,,,
Steel ,X,X,1956.5 “Long-Term Twenty-Year Plan of Supply and Demand of Steel” Ministry of International Trade and Industry,,,,,,
,,,,,,,,,
Petrochemistry,X,X,1955.7 “Support Measures to Petrochemistry” Ministry of International Trade and Industry,,,,,,
,,,1956.2 “Handling on Petrochemical Corporatization Plan” Ministry of International Trade and Industry,,,,,,
,,,,,,,,,
Synthetic Fabric,X,X,1955.6 “Support Measures to Synthetic Resin Industry” Ministry of International Trade and Industry,,,,,,
,,,1955.8 Foundation of Fiber Industry Council ,,,,,,
,,,1955.9 “Fiber Six-Year Plan” Fiber Industry Council ,,,,,,
,,,1956.2 “Report on Support to Synthetic Fiber” Fiber Industry Council,,,,,,
,,,,,,,,,
Machinery,X,X,1955.11 Foundation of Machinery Committee at Industrial Rationalization Council,,,,,,
,,,1956.5 Act on Temporary Measures concerning the Promotion of Machinery Industry,,,,,,